"symbol","gene_id"
"LOC115089199","AMEX60DD006646"
"AMEX60DD007245","AMEX60DD007245"
"LOC112551963","AMEX60DD007261"
"RHOD","AMEX60DD007292"
"GSTP1","AMEX60DD007387"
"RINT1","AMEX60DD007448"
"TAFA5","AMEX60DD007540"
"NAP1L1","AMEX60DD007771"
"CCT2","AMEX60DD007821"
"ATP6V1F","AMEX60DD007959"
"LRRC4","AMEX60DD007988"
"DR999_PMT18307","AMEX60DD008048"
"LOC115099338","AMEX60DD008126"
"XPOT","AMEX60DD008237"
"SLC38A4","AMEX60DD008343"
"AMEX60DD008492","AMEX60DD008492"
"LOC115481879","AMEX60DD008659"
"CSDE1","AMEX60DD008836"
"CAPZA1","AMEX60DD008912"
"LOC115650943","AMEX60DD008991"
"MDM4","AMEX60DD009069"
"SYPL2","AMEX60DD009200"
"GNAI3","AMEX60DD009209"
"LOC102355095","AMEX60DD009588"
"PSMC5","AMEX60DD009672"
"PTGES3L","AMEX60DD009789"
"LOC115481674","AMEX60DD009804"
"TU.AK.3","AMEX60DD010103"
"AB205_0187090","AMEX60DD010120"
"KRT12","AMEX60DD010122"
"CDK5RAP3","AMEX60DD010201"
"RPL23","AMEX60DD010261"
"RPS5","AMEX60DD010348"
"AMEX60DD010506","AMEX60DD010506"
"STK19","AMEX60DD010512"
"C2","AMEX60DD010525"
"AMEX60DD010633","AMEX60DD010633"
"LOC115466141","AMEX60DD010795"
"KIFC1","AMEX60DD010797"
"PPP2R5E.L","AMEX60DD010993"
"SEL1L","AMEX60DD011264"
"EVL","AMEX60DD011324"
"AMEX60DD011349","AMEX60DD011349"
"NPC2","AMEX60DD011467"
"CNIH1","AMEX60DD011492"
"AMEX60DD011585","AMEX60DD011585"
"AMEX60DD011586","AMEX60DD011586"
"AMEX60DD012040","AMEX60DD012040"
"LOC113148387","AMEX60DD012078"
"MEIS2","AMEX60DD012146"
"NOVA1","AMEX60DD012170"
"AMEX60DD012611","AMEX60DD012611"
"PARPI_0017951","AMEX60DD012631"
"SOX19","AMEX60DD012772"
"RNASEK","AMEX60DD013133"
"POLR2E","AMEX60DD013565"
"PTBP1","AMEX60DD013634"
"LOC109320532","AMEX60DD013814"
"LOC115097705","AMEX60DD013819"
"AB205_0163870","AMEX60DD013962"
"SUGP2","AMEX60DD013968"
"SUGP2.1","AMEX60DD013982"
"DR999_PMT10761","AMEX60DD013988"
"EEF2","AMEX60DD014307"
"TMPRSS9","AMEX60DD014584"
"LOC102946965","AMEX60DD014638"
"HNRNPM","AMEX60DD014678"
"MINDY1","AMEX60DD014763"
"LOC115457460","AMEX60DD014904"
"LOC115078076","AMEX60DD014910"
"AMEX60DD014997","AMEX60DD014997"
"APH1A","AMEX60DD015106"
"POLR3C","AMEX60DD015204"
"AMEX60DD015441","AMEX60DD015441"
"LOC115095285","AMEX60DD015445"
"SETD6","AMEX60DD015512"
"VAC14","AMEX60DD015528"
"WDR59","AMEX60DD015615"
"CRABP2","AMEX60DD015718"
"PCP4L1","AMEX60DD015740"
"TAGLN2","AMEX60DD015759"
"ETFB","AMEX60DD015867"
"AMEX60DD015961","AMEX60DD015961"
"GSONMT00075035001","AMEX60DD016113"
"AMEX60DD016874","AMEX60DD016874"
"CASQ1","AMEX60DD016918"
"ZNF821","AMEX60DD016970"
"IST1","AMEX60DD016973"
"LOC115095096","AMEX60DD017037"
"USP10","AMEX60DD017213"
"AMEX60DD017251","AMEX60DD017251"
"RPS9","AMEX60DD017274"
"NUP93","AMEX60DD017850"
"LOC115076282","AMEX60DD018041"
"MGST3","AMEX60DD018169"
"LOC115471913","AMEX60DD018200"
"ANGPTL1","AMEX60DD018261"
"ATP6V1G3","AMEX60DD018340"
"LOC112104415","AMEX60DD018698"
"XELAEV_18023478MG","AMEX60DD018699"
"AMEX60DD018878","AMEX60DD018878"
"FUBP1","AMEX60DD018962"
"LOC115473248","AMEX60DD018997"
"CYR61","AMEX60DD019011"
"ZNF326","AMEX60DD019092"
"CLCC1","AMEX60DD019177"
"SRSF11","AMEX60DD019282"
"LRRC40","AMEX60DD019284"
"AMEX60DD019299","AMEX60DD019299"
"C8A","AMEX60DD019493"
"LOC113408321","AMEX60DD019772"
"LOC110402634","AMEX60DD019881"
"AMEX60DD019900","AMEX60DD019900"
"AMEX60DD020022","AMEX60DD020022"
"LOC114789635","AMEX60DD020086"
"PDIA2","AMEX60DD020226"
"NAA60","AMEX60DD020276"
"PIGQ","AMEX60DD020352"
"ZBED9","AMEX60DD020523"
"BAIAP3","AMEX60DD020653"
"DNAAF5","AMEX60DD020692"
"AMEX60DD020757","AMEX60DD020757"
"CFP","AMEX60DD020985"
"SUV39H1","AMEX60DD021085"
"MYH3","AMEX60DD021104"
"LOC115096376","AMEX60DD021110"
"LOC115096381","AMEX60DD021118"
"AMEX60DD021188","AMEX60DD021188"
"VILL","AMEX60DD021287"
"BFAR","AMEX60DD021421"
"ITGB1","AMEX60DD021794"
"AMEX60DD021890","AMEX60DD021890"
"CTNNB1","AMEX60DD022018"
"STAM","AMEX60DD022101"
"VIM","AMEX60DD022108"
"SGCE","AMEX60DD022393"
"COL1A2","AMEX60DD022398"
"NGLY1","AMEX60DD022647"
"DKC1","AMEX60DD022861"
"AMEX60DD022983","AMEX60DD022983"
"GLT8D1","AMEX60DD023132"
"ALAS1","AMEX60DD023169"
"LOC108802774","AMEX60DD023184"
"QARS1","AMEX60DD023313"
"LOC104349073","AMEX60DD023716"
"UBA3","AMEX60DD023910"
"DNAH1","AMEX60DD024073"
"PARP3","AMEX60DD024092"
"UBA7","AMEX60DD024218"
"DV515_00009683","AMEX60DD024231"
"HNRNPL","AMEX60DD024272"
"LOC112110574","AMEX60DD024279"
"NCCRP1","AMEX60DD024308"
"LOC112115427","AMEX60DD024391"
"FRMD8","AMEX60DD024921"
"LOC115479482","AMEX60DD024981"
"PC","AMEX60DD025000"
"DPP3","AMEX60DD025152"
"POLA2","AMEX60DD025190"
"ARL2","AMEX60DD025274"
"MACROD1","AMEX60DD025287"
"UBL4A","AMEX60DD025429"
"AMEX60DD025625","AMEX60DD025625"
"LOC113637098","AMEX60DD025871"
"LOC115465980","AMEX60DD026033"
"PTPN23","AMEX60DD026055"
"LOC115823720","AMEX60DD026559"
"RIMKLB","AMEX60DD026743"
"USP5","AMEX60DD026809"
"AMEX60DD026927","AMEX60DD026927"
"RBBP8NL","AMEX60DD026944"
"STMN3","AMEX60DD027088"
"PCK1","AMEX60DD027323"
"LOC113071349","AMEX60DD027472"
"TNNC2.L","AMEX60DD027499"
"NCOA5","AMEX60DD027678"
"CSNK1A1","AMEX60DD027743"
"LOC115079598","AMEX60DD027755"
"ZNF346","AMEX60DD027854"
"AMEX60DD027881","AMEX60DD027881"
"LOC113746826","AMEX60DD027933"
"REEP2","AMEX60DD027942"
"AMEX60DD028114","AMEX60DD028114"
"HBE1","AMEX60DD028119"
"AMEX60DD028182","AMEX60DD028182"
"LOC108702355","AMEX60DD028220"
"LOC115078387","AMEX60DD028227"
"E2F1","AMEX60DD028458"
"AMEX60DD028491","AMEX60DD028491"
"MATN4.S","AMEX60DD028505"
"EIF6","AMEX60DD028517"
"LOC115096893","AMEX60DD028531"
"NDRG3","AMEX60DD028553"
"BPIFB2","AMEX60DD028715"
"LOC115097377","AMEX60DD028717"
"GNPDA1","AMEX60DD028829"
"LOC115656130","AMEX60DD028875"
"DDX46","AMEX60DD028953"
"SMAD5","AMEX60DD028983"
"AMEX60DD028999","AMEX60DD028999"
"HNRNPAB","AMEX60DD029013"
"AMEX60DD029292","AMEX60DD029292"
"COPZ1","AMEX60DD029476"
"ESPL1","AMEX60DD029569"
"NACA","AMEX60DD029700"
"ATP5F1B","AMEX60DD029705"
"STAT6","AMEX60DD029729"
"KIF5A","AMEX60DD029773"
"AV530_011063","AMEX60DD029899"
"TMBIM6","AMEX60DD029992"
"LOC102382988","AMEX60DD030632"
"AMEX60DD030792","AMEX60DD030792"
"LOC115090923","AMEX60DD030949"
"EPN3","AMEX60DD030968"
"LOC109684552","AMEX60DD031249"
"ILF3","AMEX60DD032042"
"EIF2B4","AMEX60DD032562"
"CHRNA2","AMEX60DD032730"
"LOC102371230","AMEX60DD032874"
"PLA2G7","AMEX60DD032940"
"DR999_PMT02260","AMEX60DD033164"
"MYCN","AMEX60DD033177"
"DDX1","AMEX60DD033181"
"PDIA6","AMEX60DD033240"
"ELOVL5.L","AMEX60DD033454"
"LOC115088608","AMEX60DD033490"
"AMEX60DD033508","AMEX60DD033508"
"ADGRB3","AMEX60DD033553"
"AMEX60DD033791","AMEX60DD033791"
"SRSF12","AMEX60DD033969"
"SESN1","AMEX60DD034045"
"PREP","AMEX60DD034093"
"FAM184A","AMEX60DD034151"
"CEP43","AMEX60DD034186"
"RWDD1","AMEX60DD034194"
"RPS12","AMEX60DD034248"
"TCP1","AMEX60DD034407"
"SGK1","AMEX60DD034416"
"NUP133","AMEX60DD034542"
"AKAP7","AMEX60DD034650"
"SEC23B","AMEX60DD034765"
"ABHD12","AMEX60DD035064"
"SRD5A2","AMEX60DD035184"
"XRN2","AMEX60DD035476"
"LOC101730730","AMEX60DD035479"
"CCDC28A","AMEX60DD035519"
"AMEX60DD035545","AMEX60DD035545"
"MEIS1","AMEX60DD035598"
"LOC115086921","AMEX60DD035893"
"LRPPRC","AMEX60DD035957"
"FIGNL1","AMEX60DD036009"
"AMEX60DD036104","AMEX60DD036104"
"CAPN10L.L","AMEX60DD036236"
"SLC4A1AP","AMEX60DD036329"
"BTBD9","AMEX60DD036378"
"XPO5","AMEX60DD036476"
"OGT","AMEX60DD036783"
"VBP1","AMEX60DD037152"
"AMEX60DD037167","AMEX60DD037167"
"AMEX60DD037184","AMEX60DD037184"
"LOC496342","AMEX60DD037263"
"RADX","AMEX60DD037296"
"RBMX","AMEX60DD037385"
"PARPI_0002003","AMEX60DD037429"
"MAP7D3","AMEX60DD037464"
"WDR44","AMEX60DD037515"
"TNMD","AMEX60DD037674"
"TMSB15A","AMEX60DD037778"
"RALA","AMEX60DD038092"
"FIGNL1.1","AMEX60DD038236"
"SMAX5B_007995","AMEX60DD038356"
"DEK.L","AMEX60DD038495"
"AMEX60DD038556","AMEX60DD038556"
"FASTKD3","AMEX60DD038761"
"CCT5","AMEX60DD038771"
"CDH18","AMEX60DD038823"
"FBXL7","AMEX60DD038857"
"LGALS3","AMEX60DD038923"
"TEX10","AMEX60DD039019"
"AMEX60DD039206","AMEX60DD039206"
"MCM4","AMEX60DD039662"
"AMEX60DD039693","AMEX60DD039693"
"LYN","AMEX60DD039734"
"RAB2A","AMEX60DD039787"
"ASPH","AMEX60DD039797"
"EYA1","AMEX60DD039890"
"PAG1","AMEX60DD039989"
"PHYPO_G00005470","AMEX60DD040042"
"DECR1","AMEX60DD040050"
"LOC115457932","AMEX60DD040169"
"PABPC1","AMEX60DD040213"
"DCAF13","AMEX60DD040255"
"NDUFB9","AMEX60DD040460"
"WASHC5","AMEX60DD040478"
"DR999_PMT11216","AMEX60DD040526"
"CCN4.L","AMEX60DD040548"
"AMEX60DD040656","AMEX60DD040656"
"EEF1D","AMEX60DD040693"
"LOC115460485","AMEX60DD040742"
"VPS28.L","AMEX60DD040749"
"AMEX60DD040802","AMEX60DD040802"
"LOC114789635.1","AMEX60DD040853"
"AMEX60DD041078","AMEX60DD041078"
"LOC114508043","AMEX60DD041093"
"ZNF432","AMEX60DD041199"
"LOC108803380","AMEX60DD041212"
"AMEX60DD041390","AMEX60DD041390"
"ATP5F1A","AMEX60DD041683"
"LOC106899105","AMEX60DD041751"
"AGXT2","AMEX60DD041882"
"WDR70","AMEX60DD041927"
"C7","AMEX60DD041972"
"SLC30A5","AMEX60DD042281"
"SLC30A5.1","AMEX60DD042282"
"H920_10878","AMEX60DD042458"
"CAST","AMEX60DD042627"
"REEP5","AMEX60DD042760"
"PUM3","AMEX60DD043104"
"HNRNPK","AMEX60DD043243"
"LOC107503951","AMEX60DD043286"
"ARL9","AMEX60DD043581"
"SRP72","AMEX60DD043582"
"ANP32B","AMEX60DD043777"
"LOC108788185","AMEX60DD043804"
"SPP1","AMEX60DD043905"
"NANS","AMEX60DD043925"
"LOC115090941","AMEX60DD043987"
"RAD23B","AMEX60DD044426"
"LOC108787626","AMEX60DD044465"
"GSTCD","AMEX60DD044654"
"PARPI_0000846","AMEX60DD044699"
"SPCS3","AMEX60DD045324"
"KLKB1","AMEX60DD045420"
"CHIC2","AMEX60DD045545"
"NFXL1","AMEX60DD045586"
"LOC104553538","AMEX60DD045721"
"CPZ","AMEX60DD045966"
"GRK4","AMEX60DD045984"
"POLR1A","AMEX60DD046103"
"PTCD3","AMEX60DD046106"
"CUNH20ORF27","AMEX60DD046248"
"COX18","AMEX60DD046307"
"IDH3B","AMEX60DD046444"
"LOC105092010","AMEX60DD046532"
"PWP2","AMEX60DD046773"
"LOC101821757","AMEX60DD046799"
"FSTL1","AMEX60DD046943"
"DV515_00017576","AMEX60DD047311"
"LOC101933128","AMEX60DD047408"
"MED14","AMEX60DD047638"
"CYBB.L","AMEX60DD047676"
"RGN","AMEX60DD047776"
"CRACDL","AMEX60DD047799"
"PDCL3","AMEX60DD047842"
"AP1S2","AMEX60DD047936"
"RBBP7","AMEX60DD047959"
"EIF2S3","AMEX60DD048391"
"CEP97","AMEX60DD048414"
"EGFL6","AMEX60DD048505"
"SCEL","AMEX60DD048808"
"RNASEH2B","AMEX60DD048988"
"MTMR6","AMEX60DD049314"
"AMEX60DD049415","AMEX60DD049415"
"LOC101940351","AMEX60DD049425"
"MMP3.10A","AMEX60DD049496"
"CC90B","AMEX60DD049674"
"AMEX60DD049842","AMEX60DD049842"
"QRFP","AMEX60DD050375"
"AMEX60DD050870","AMEX60DD050870"
"AMEX60DD051018","AMEX60DD051018"
"DRAXIN","AMEX60DD051109"
"LOC112114064","AMEX60DD051111"
"CCNL2","AMEX60DD051270"
"MIB2","AMEX60DD051301"
"LOC115076830","AMEX60DD051532"
"PPIH","AMEX60DD051610"
"PALD1","AMEX60DD051645"
"LOC104379862","AMEX60DD051702"
"DDX21","AMEX60DD051799"
"LOC115095435","AMEX60DD051872"
"LRIT1","AMEX60DD052008"
"LOC115076588","AMEX60DD052385"
"ENTPD7","AMEX60DD052785"
"ABLIM1","AMEX60DD053191"
"AMEX60DD053314","AMEX60DD053314"
"AMEX60DD053606","AMEX60DD053606"
"HTR3B.L","AMEX60DD053679"
"AMEX60DD053711","AMEX60DD053711"
"PTS","AMEX60DD053713"
"AMEX60DD053764","AMEX60DD053764"
"RABEP1","AMEX60DD054066"
"PIGW","AMEX60DD054132"
"LOC115097197","AMEX60DD054293"
"CCT6A","AMEX60DD054318"
"PEX12","AMEX60DD054389"
"TLCD3A","AMEX60DD054707"
"NSRP1","AMEX60DD054805"
"AB205_0104440","AMEX60DD054820"
"AIFM3","AMEX60DD054934"
"PITPNA","AMEX60DD054940"
"NAGPA","AMEX60DD054949"
"YWHAE","AMEX60DD054952"
"STAT1","AMEX60DD055208"
"SF3B1","AMEX60DD055269"
"DNAJB11","AMEX60DD055295"
"PFKL","AMEX60DD055296"
"TFPI","AMEX60DD055299"
"LOC102946376","AMEX60DD055355"
"LOC113037907","AMEX60DD055361"
"LANCL1","AMEX60DD055389"
"LOC102383435","AMEX60DD055500"
"SSB","AMEX60DD055642"
"CDCA7","AMEX60DD055685"
"PKP4","AMEX60DD055808"
"ORC4","AMEX60DD055884"
"LOC114604297","AMEX60DD056021"
"IQCB1","AMEX60DD056110"
"TSN","AMEX60DD056113"
"AMEX60DD056330","AMEX60DD056330"
"DES","AMEX60DD056342"
"ANKZF1","AMEX60DD056366"
"LOC114789697","AMEX60DD056469"
"LOC114789697.1","AMEX60DD056477"
"LOC102371443","AMEX60DD056552"
"AACS","AMEX60DD000048"
"LOC101542680","AMEX60DD000060"
"AMEX60DD000079","AMEX60DD000079"
"LOC103085771","AMEX60DD000109"
"PUS1","AMEX60DD000122"
"PPIL2","AMEX60DD000128"
"CDC45","AMEX60DD000134"
"GP1BB","AMEX60DD000145"
"TXNRD2","AMEX60DD000153"
"TANGO2","AMEX60DD000163"
"TRMT2A","AMEX60DD000166"
"RANBP1.L","AMEX60DD000167"
"PGAM5","AMEX60DD000171"
"LOC115073368","AMEX60DD000183"
"CHFR","AMEX60DD000193"
"TOP3B","AMEX60DD000224"
"HCG_1999854","AMEX60DD000251"
"ESS2","AMEX60DD000265"
"CABIN1","AMEX60DD000404"
"YWHAH","AMEX60DD000464"
"DEPDC5","AMEX60DD000465"
"PISD","AMEX60DD000473"
"LOC101388841","AMEX60DD000475"
"DRG1","AMEX60DD000476"
"LIMK2","AMEX60DD000482"
"ACADS","AMEX60DD000489"
"RNF10","AMEX60DD000499"
"LOC110406354","AMEX60DD000501"
"GATC","AMEX60DD000505"
"COX6A1","AMEX60DD000507"
"RPLP0.L","AMEX60DD000526"
"ATP6V0A2","AMEX60DD000565"
"GTF2H3","AMEX60DD000569"
"DDX55","AMEX60DD000571"
"TMED2.L","AMEX60DD000572"
"SNRNP35","AMEX60DD000575"
"KMT5A","AMEX60DD000579"
"CDK2AP1","AMEX60DD000585"
"AMEX60DD000588","AMEX60DD000588"
"ARL6IP4","AMEX60DD000592"
"DENR","AMEX60DD000601"
"CLIP1","AMEX60DD000614"
"VPS33A","AMEX60DD000615"
"DIABLO","AMEX60DD000618"
"TMEM120B","AMEX60DD000640"
"ANAPC5","AMEX60DD000647"
"P2RX4","AMEX60DD000652"
"P2RX7","AMEX60DD000653"
"ARPC3","AMEX60DD000662"
"PPP1CC","AMEX60DD000673"
"ACAD10","AMEX60DD000686"
"NAA25","AMEX60DD000700"
"TRAFD1","AMEX60DD000703"
"ISCU","AMEX60DD000735"
"ALKBH2","AMEX60DD000753"
"KCTD10","AMEX60DD000763"
"MVK","AMEX60DD000777"
"SRRD","AMEX60DD000850"
"LOC115480570","AMEX60DD000861"
"PITPNB","AMEX60DD000892"
"CHEK2","AMEX60DD000900"
"MORC2","AMEX60DD000906"
"PXMP2","AMEX60DD000934"
"LOC112060228","AMEX60DD000940"
"MTFP1","AMEX60DD000941"
"UQCR10","AMEX60DD000967"
"RASL10A","AMEX60DD000996"
"LOC104575523","AMEX60DD001000"
"EMID1","AMEX60DD001004"
"DDX54","AMEX60DD001017"
"LOC106540410","AMEX60DD001040"
"TBX5","AMEX60DD001050"
"NUP133.1","AMEX60DD001068"
"NUP133.2","AMEX60DD001069"
"C11H12ORF49","AMEX60DD001072"
"PEBP1","AMEX60DD001118"
"LOC104567827","AMEX60DD001123"
"LOC106704024","AMEX60DD001165"
"LZTR1","AMEX60DD001179"
"LOC115100799","AMEX60DD001181"
"KCNIP3","AMEX60DD001201"
"FAHD2A.L","AMEX60DD001202"
"STARD7","AMEX60DD001209"
"ANKRD39","AMEX60DD001240"
"LOC114447202","AMEX60DD001246"
"AMEX60DD001253","AMEX60DD001253"
"AMEX60DD001280","AMEX60DD001280"
"LOC115092864","AMEX60DD001292"
"SLC20A1","AMEX60DD001301"
"AMEX60DD001320","AMEX60DD001320"
"POLD2","AMEX60DD001361"
"ELMOD3","AMEX60DD001365"
"UBE2D1","AMEX60DD001367"
"DUSP11","AMEX60DD001382"
"CB1_000252031","AMEX60DD001384"
"CUNH2ORF42","AMEX60DD001385"
"TIA1","AMEX60DD001387"
"ANXA4","AMEX60DD001400"
"LOC115091615","AMEX60DD001406"
"LOC115469338.1","AMEX60DD001408"
"GKN1.2.L","AMEX60DD001409"
"PARPI_0023346","AMEX60DD001454"
"DR999_PMT18881","AMEX60DD001499"
"ALG3","AMEX60DD001508"
"PSMD2","AMEX60DD001517"
"LOC113028410","AMEX60DD001534"
"DR999_PMT05608","AMEX60DD001563"
"LOC112547415","AMEX60DD001564"
"ZMAT3","AMEX60DD001611"
"ZNF639","AMEX60DD001616"
"MCCC1","AMEX60DD001650"
"RFC4","AMEX60DD001665"
"AMEX60DD001671","AMEX60DD001671"
"FETUB.S","AMEX60DD001674"
"PIGZ","AMEX60DD001693"
"PRKCI","AMEX60DD001736"
"GPR160","AMEX60DD001739"
"AMEX60DD001753","AMEX60DD001753"
"LOC111559199","AMEX60DD001759"
"SERPINI1","AMEX60DD001766"
"NMD3","AMEX60DD001802"
"PPM1L","AMEX60DD001803"
"KPNA4","AMEX60DD001806"
"TRIM59","AMEX60DD001807"
"SMC4","AMEX60DD001810"
"CARD8","AMEX60DD001814"
"LOC115479139","AMEX60DD001823"
"GFM1","AMEX60DD001824"
"MLF1","AMEX60DD001827"
"PTX3","AMEX60DD001838"
"TIPARP","AMEX60DD001854"
"SSR3","AMEX60DD001857"
"GMPS","AMEX60DD001861"
"DHX36","AMEX60DD001875"
"AMEX60DD001922","AMEX60DD001922"
"SELENOT","AMEX60DD001924"
"EIF2A","AMEX60DD001925"
"SERP1","AMEX60DD001927"
"TSC22D2","AMEX60DD001928"
"HLTF","AMEX60DD001956"
"GYG1","AMEX60DD001957"
"AMEX60DD001977","AMEX60DD001977"
"SCLY","AMEX60DD002124"
"LOC102866574","AMEX60DD002127"
"CUL3","AMEX60DD002177"
"LOC115478721","AMEX60DD002182"
"WDFY1","AMEX60DD002186"
"SNED1.L","AMEX60DD002216"
"ING5","AMEX60DD002221"
"STK25","AMEX60DD002230"
"LOC106490213","AMEX60DD002238"
"LOC101880542","AMEX60DD002239"
"PPP1R7","AMEX60DD002246"
"CEP63","AMEX60DD002319"
"N337_01070","AMEX60DD002401"
"EOD39_7363","AMEX60DD002422"
"LOC106707053","AMEX60DD002431"
"ZNF703","AMEX60DD002465"
"MAK16","AMEX60DD002514"
"ASH2L","AMEX60DD002563"
"LSM1","AMEX60DD002569"
"DDHD2","AMEX60DD002572"
"LETM2","AMEX60DD002581"
"ADAM9","AMEX60DD002596"
"PLEKHA2","AMEX60DD002603"
"COPS9","AMEX60DD002658"
"GPC1","AMEX60DD002665"
"MRPL44","AMEX60DD002673"
"HS6ST1.L","AMEX60DD002682"
"FAM168B","AMEX60DD002690"
"YEATS2","AMEX60DD002708"
"PXYLP1","AMEX60DD002712"
"LOC115479205","AMEX60DD002730"
"AMMECR1L","AMEX60DD002733"
"LOC114644702","AMEX60DD002769"
"SFTPC","AMEX60DD002783"
"REEP4","AMEX60DD002787"
"AMEX60DD002807","AMEX60DD002807"
"RHOBTB2","AMEX60DD002851"
"CHMP7","AMEX60DD002854"
"GOLGA7","AMEX60DD002953"
"R3HCC1","AMEX60DD002959"
"LOXL2","AMEX60DD002960"
"ENTPD4","AMEX60DD002962"
"EBF2","AMEX60DD002999"
"PSMD1","AMEX60DD003017"
"AMEX60DD003045","AMEX60DD003045"
"PHB2","AMEX60DD003052"
"LOC115479234","AMEX60DD003065"
"CHRND","AMEX60DD003072"
"AMEX60DD003254","AMEX60DD003254"
"LOC100546606","AMEX60DD003255"
"AMEX60DD003313","AMEX60DD003313"
"ARPIN","AMEX60DD003321"
"AB205_0081210","AMEX60DD003327"
"HDDC3","AMEX60DD003337"
"VPS33B","AMEX60DD003340"
"PRC1","AMEX60DD003342"
"BN2614_LOCUS2","AMEX60DD003344"
"MAN2A2","AMEX60DD003347"
"HYPK","AMEX60DD003352"
"AMEX60DD003359","AMEX60DD003359"
"LOC115460690","AMEX60DD003436"
"MTFMT","AMEX60DD003437"
"CLPX","AMEX60DD003445"
"SPG21","AMEX60DD003446"
"AMEX60DD003465","AMEX60DD003465"
"FAM169B","AMEX60DD003505"
"IGF.IR","AMEX60DD003509"
"LRRC28","AMEX60DD003513"
"SELENOS","AMEX60DD003539"
"SNAPC5","AMEX60DD003544"
"RPL4","AMEX60DD003548"
"ZWILCH","AMEX60DD003549"
"EFL1","AMEX60DD003560"
"SH3GL3","AMEX60DD003568"
"USP8","AMEX60DD003598"
"SPPL2A","AMEX60DD003612"
"LOC107076888","AMEX60DD003614"
"LOC115459802","AMEX60DD003615"
"SQOR.L","AMEX60DD003616"
"BLOC1S6","AMEX60DD003617"
"LOC115074847","AMEX60DD003623"
"APBA2","AMEX60DD003634"
"N337_12363","AMEX60DD003636"
"MPHOSPH10","AMEX60DD003637"
"POLR2M","AMEX60DD003645"
"TCF12","AMEX60DD003650"
"TEX9","AMEX60DD003656"
"RAB27A","AMEX60DD003669"
"RSL24D1.S","AMEX60DD003671"
"MYO5A","AMEX60DD003697"
"MYO5C","AMEX60DD003698"
"GLDN","AMEX60DD003726"
"MYEF2","AMEX60DD003751"
"DUT","AMEX60DD003753"
"COPS2","AMEX60DD003763"
